# File: OTAQ_land_protection_L3_IUCN1_2.csv
# Title: land protection fractions by GCAM water basin
# Units: Percent
# Source: OTAQ (Diana Galperin)
# Column types: iccccicnnn
# ----------
GCAM_basin_ID,Basin_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,Basin area (Sq. Meters),Suitable Area (Sq. Meters),Percent Suitable
34,Churchill,GLU034,ChurchillR,CAN,124,Canada,"97,967,833,460.34","153,697,332.02",0.16%
35,Neman,GLU035,NemanR,LTU,440,Lithuania,"96,772,308,311.46","92,297,225,348.40",95.38%
36,Scheldt,GLU036,ScheldtR,BEL,56,Belgium,"25,636,831,888.30","20,654,425,716.60",80.57%
37,Russia_South_East_Coast,GLU037,RusCstSE,RUS,643,Russian Federation,"146,932,941,607.80","98,199,912,060.30",66.83%
38,Ural,GLU038,UralR,RUS,643,Russian Federation,"219,449,063,027.40","179,176,926,592.00",81.65%
39,Dnieper,GLU039,DnieperR,UKR,804,Ukraine,"517,063,263,549.00","485,388,312,098.00",93.87%
40,St_Lawrence,GLU040,StLwrncR,CAN,124,Canada,"249,350,038,763.00","103,979,995,488.00",41.70%
41,France_West_Coast,GLU041,FranceCstW,FRA,250,France,"105,778,329,887.63","94,818,229,812.40",89.64%
42,Gobi_Interior,GLU042,Gobi,CHN,156,China,"2,167,801,914,079.20","551,970,760,041.00",25.46%
43,Amur,GLU043,AmurR,RUS,643,Russian Federation,"2,086,559,914,302.92","1,011,493,734,080.00",48.48%
44,Loire,GLU044,LoireR,FRA,250,France,"119,231,346,612.00","115,679,062,727.00",97.02%
45,Caspian_Sea_Coast,GLU045,CaspianNE,KAZ,398,Kazakhstan,"502,217,277,758.32","153,177,529,549.00",30.50%
46,Seine,GLU046,SeineR,FRA,250,France,"75,171,958,142.10","70,283,526,066.40",93.50%
47,Black_Sea_North_Coast,GLU047,BlackSeaN,UKR,804,Ukraine,"259,071,308,570.52","234,743,353,514.00",90.61%
48,Yenisei,GLU048,YeniseiR,RUS,643,Russian Federation,"2,638,740,717,837.06","396,071,819,435.00",15.01%
49,Dniester,GLU049,DniesterR,UKR,804,Ukraine,"72,678,865,557.99","65,153,621,902.70",89.65%
50,Italy_East_Coast,GLU050,ItalyCstE,ITA,380,Italy,"74,910,857,878.08","59,562,830,309.10",79.51%
51,Japan,GLU051,Japan,JPN,392,Japan,"372,003,812,049.38","308,938,933,545.00",83.05%
52,Caspian_Sea_East_Coast,GLU052,CaspianE,TKM,795,Turkmenistan,"869,950,483,637.60","225,395,432,685.00",25.91%
53,Don,GLU053,DonR,RUS,643,Russian Federation,"441,569,187,204.74","426,323,395,683.00",96.55%
54,Danube,GLU054,DanubeR,ROU,642,Romania,"802,022,490,098.37","712,884,434,094.00",88.89%
55,Adriatic_Sea_Greece_Black_Sea_Coast,GLU055,AdrBlkSea,GRC,300,Greece,"337,252,806,623.95","284,404,502,553.00",84.33%
56,Ob,GLU056,ObR,RUS,643,Russian Federation,"3,041,361,593,207.60","1,888,411,338,920.00",62.09%
57,Po,GLU057,PoR,ITA,380,Italy,"90,334,124,729.12","55,079,491,408.10",60.97%
58,Amu_Darya,GLU058,AmuDaryaR,UZB,860,Uzbekistan,"802,132,551,451.11","230,179,142,814.00",28.70%
59,Italy_West_Coast,GLU059,ItalyCstW,ITA,380,Italy,"68,935,120,540.50","54,433,335,277.60",78.96%
60,Spain_Portugal_Atlantic_Coast,GLU060,IberiaCst,ESP,724,Spain,"83,307,006,872.70","72,947,454,047.70",87.56%
61,France_South_Coast,GLU061,FranceCstS,FRA,250,France,"31,874,246,940.10","25,282,392,852.30",79.32%
62,Rhone,GLU062,RhoneR,FRA,250,France,"98,617,766,939.01","75,448,956,543.30",76.51%
