# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region)
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2010,2100
USA,traded fibercrop,Japan traded fibercrop,Japan traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Japan traded fibercrop,Japan traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Mexico traded fibercrop,Mexico traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Mexico traded fibercrop,Mexico traded fibercrop,trn_shipping_intl,0.00045208,2000,2000,2000,2000,2000
USA,traded fibercrop,Middle East traded fibercrop,Middle East traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Middle East traded fibercrop,Middle East traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,Pakistan traded fibercrop,Pakistan traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Pakistan traded fibercrop,Pakistan traded fibercrop,trn_shipping_intl,0.00045208,2000,2000,2000,2000,2000
USA,traded fibercrop,Russia traded fibercrop,Russia traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Russia traded fibercrop,Russia traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,South Africa traded fibercrop,South Africa traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,South Africa traded fibercrop,South Africa traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,South America_Northern traded fibercrop,South America_Northern traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,South America_Northern traded fibercrop,South America_Northern traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,South America_Southern traded fibercrop,South America_Southern traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,South America_Southern traded fibercrop,South America_Southern traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,South Asia traded fibercrop,South Asia traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,South Asia traded fibercrop,South Asia traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,South Korea traded fibercrop,South Korea traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,South Korea traded fibercrop,South Korea traded fibercrop,trn_shipping_intl,0.00045208,2000,4000,4000,4000,4000
USA,traded fibercrop,Southeast Asia traded fibercrop,Southeast Asia traded fibercrop,trn_freight,3.62E-05,50,50,50,50,50
USA,traded fibercrop,Southeast Asia traded fibercrop,Southeast Asia traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded fibercrop,USA traded fibercrop,USA traded fibercrop,trn_freight,3.62E-05,600,600,600,600,600
USA,traded fibercrop,USA traded fibercrop,USA traded fibercrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,trn_freight,3.62E-05,300,300,300,300,300
